epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.87615,1.03765,2.59416,1.23241,0.56607,0.85,0.87816,0.63499,1.65875,1.06267,1.38261,0,0,0
2,3.60059,1.02718,3.65149,1.45168,0.5633,0.85,0.88864,0.6374,1.68041,1.05936,1.38864,1.17822e-06,1.17822e-06,1.17822e-06
3,5.23887,1.16501,3.47978,1.37243,0.5709,0.85,0.85546,0.62172,1.68885,1.06066,1.3899,2.33288e-06,2.33288e-06,2.33288e-06
4,6.63136,1.14297,2.84121,1.37662,0.60848,0.92599,0.90519,0.64286,1.67589,1.05703,1.37329,3.46397e-06,3.46397e-06,3.46397e-06
5,8.07932,1.20512,2.11937,1.72103,0.5502,0.85,0.85669,0.63618,1.66409,1.0547,1.36439,4.5715e-06,4.5715e-06,4.5715e-06
6,9.51299,1.16106,2.53598,1.53628,0.54895,0.86196,0.87521,0.62872,1.66532,1.06464,1.36507,5.65548e-06,5.65548e-06,5.65548e-06
7,11.0648,1.29703,2.53355,1.57631,0.5515,0.86585,0.8846,0.62965,1.66012,1.06359,1.36038,6.71588e-06,6.71588e-06,6.71588e-06
8,12.6171,1.18353,2.41212,1.61984,0.53886,0.86667,0.89452,0.63073,1.649,1.05406,1.35429,7.75273e-06,7.75273e-06,7.75273e-06
9,14.2639,1.21642,3.21678,1.43004,0.53419,0.86667,0.89432,0.63229,1.64796,1.05583,1.35092,8.76602e-06,8.76602e-06,8.76602e-06
10,15.8446,1.12825,2.43744,1.40031,0.61718,0.93827,0.90844,0.63348,1.63868,1.05131,1.34664,9.75574e-06,9.75574e-06,9.75574e-06
11,17.5378,1.38381,2.70507,1.71371,0.62633,0.94316,0.90939,0.63435,1.63538,1.04763,1.34438,1.07219e-05,1.07219e-05,1.07219e-05
12,19.1458,0.93338,1.73739,1.36704,0.63637,0.94218,0.91145,0.63503,1.64073,1.06288,1.34721,1.16645e-05,1.16645e-05,1.16645e-05
13,20.6719,1.18991,2.66556,1.49521,0.65004,0.94073,0.91158,0.64453,1.64403,1.0753,1.34759,1.25835e-05,1.25835e-05,1.25835e-05
14,22.1307,1.21464,3.46072,1.63311,0.65602,0.7713,0.91183,0.65091,1.64264,1.08877,1.34674,1.3479e-05,1.3479e-05,1.3479e-05
15,23.8573,1.25782,2.47461,1.67518,0.65875,0.93798,0.91339,0.6487,1.64416,1.0888,1.34807,1.43509e-05,1.43509e-05,1.43509e-05
16,25.3876,1.00347,2.16498,1.42838,0.64817,0.93588,0.91364,0.64688,1.62878,1.09103,1.34577,1.51993e-05,1.51993e-05,1.51993e-05
17,27.0254,0.71459,2.37549,1.22706,0.65346,0.93729,0.91368,0.64773,1.64232,1.10733,1.34709,1.60241e-05,1.60241e-05,1.60241e-05
18,28.5599,1.18272,2.38576,1.5247,0.65346,0.93729,0.91368,0.64773,1.64232,1.10733,1.34709,1.68253e-05,1.68253e-05,1.68253e-05
19,30.1741,1.07445,2.10804,1.34394,0.65706,0.76494,0.9121,0.64056,1.63386,1.13799,1.35068,1.7603e-05,1.7603e-05,1.7603e-05
20,31.6778,1.13832,2.42401,1.48873,0.65706,0.76494,0.9121,0.64056,1.63386,1.13799,1.35068,1.83571e-05,1.83571e-05,1.83571e-05
21,33.1649,0.96999,2.15105,1.29805,0.85069,0.65,0.91487,0.62546,1.6297,1.17627,1.35124,1.90876e-05,1.90876e-05,1.90876e-05
22,34.7166,0.97989,1.83644,1.32684,0.85069,0.65,0.91487,0.62546,1.6297,1.17627,1.35124,1.97946e-05,1.97946e-05,1.97946e-05
23,36.2821,0.82844,1.7023,1.28166,0.84924,0.65,0.91146,0.6238,1.6481,1.20461,1.36098,2.0478e-05,2.0478e-05,2.0478e-05
